Id,Index,SubIndex,Access,Type,Length
212,1A00,04,Read/Write,UNSIGNED32,32
213,1A00,05,Read/Write,UNSIGNED32,32
214,1A00,06,Read/Write,UNSIGNED32,32
215,1A00,07,Read/Write,UNSIGNED32,32
216,1A00,08,Read/Write,UNSIGNED32,32
217,1A01,00,Read/Write,UNSIGNED8,8
218,1A01,01,Read/Write,UNSIGNED32,32
219,1A01,02,Read/Write,UNSIGNED32,32
220,1A01,03,Read/Write,UNSIGNED32,32
221,1A01,04,Read/Write,UNSIGNED32,32
222,1A01,05,Read/Write,UNSIGNED32,32
223,1A01,06,Read/Write,UNSIGNED32,32
224,1A01,07,Read/Write,UNSIGNED32,32
225,1A01,08,Read/Write,UNSIGNED32,32
226,1A02,00,Read/Write,UNSIGNED8,8
227,1A02,01,Read/Write,UNSIGNED32,32
228,1A02,02,Read/Write,UNSIGNED32,32
229,1A02,03,Read/Write,UNSIGNED32,32
230,1A02,04,Read/Write,UNSIGNED32,32
231,1A02,05,Read/Write,UNSIGNED32,32
232,1A02,06,Read/Write,UNSIGNED32,32
233,1A02,07,Read/Write,UNSIGNED32,32
234,1A02,08,Read/Write,UNSIGNED32,32
235,1A03,00,Read/Write,UNSIGNED8,8
236,1A03,01,Read/Write,UNSIGNED32,32
237,1A03,02,Read/Write,UNSIGNED32,32
238,1A03,03,Read/Write,UNSIGNED32,32
239,1A03,04,Read/Write,UNSIGNED32,32
240,1A03,05,Read/Write,UNSIGNED32,32
241,1A03,06,Read/Write,UNSIGNED32,32
242,1A03,07,Read/Write,UNSIGNED32,32
243,1A03,08,Read/Write,UNSIGNED32,32
244,1A04,00,Read/Write,UNSIGNED8,8
245,1A04,01,Read/Write,UNSIGNED32,32
246,1A04,02,Read/Write,UNSIGNED32,32
247,1A04,03,Read/Write,UNSIGNED32,32
248,1A04,04,Read/Write,UNSIGNED32,32
249,1A04,05,Read/Write,UNSIGNED32,32
250,1A04,06,Read/Write,UNSIGNED32,32
251,1A04,07,Read/Write,UNSIGNED32,32
252,1A04,08,Read/Write,UNSIGNED32,32
253,1A05,00,Read/Write,UNSIGNED8,8
254,1A05,01,Read/Write,UNSIGNED32,32
255,1A05,02,Read/Write,UNSIGNED32,32
256,1A05,03,Read/Write,UNSIGNED32,32
257,1A05,04,Read/Write,UNSIGNED32,32
258,1A05,05,Read/Write,UNSIGNED32,32
259,1A05,06,Read/Write,UNSIGNED32,32
260,1A05,07,Read/Write,UNSIGNED32,32
261,1A05,08,Read/Write,UNSIGNED32,32
262,1A06,00,Read/Write,UNSIGNED8,8
263,1A06,01,Read/Write,UNSIGNED32,32
264,1A06,02,Read/Write,UNSIGNED32,32
265,1A06,03,Read/Write,UNSIGNED32,32
266,1A06,04,Read/Write,UNSIGNED32,32
267,1A06,05,Read/Write,UNSIGNED32,32
268,1A06,06,Read/Write,UNSIGNED32,32
269,1A06,07,Read/Write,UNSIGNED32,32
270,1A06,08,Read/Write,UNSIGNED32,32
271,1A07,00,Read/Write,UNSIGNED8,8
272,1A07,01,Read/Write,UNSIGNED32,32
273,1A07,02,Read/Write,UNSIGNED32,32
274,1A07,03,Read/Write,UNSIGNED32,32
275,1A07,04,Read/Write,UNSIGNED32,32
276,1A07,05,Read/Write,UNSIGNED32,32
277,1A07,06,Read/Write,UNSIGNED32,32
278,1A07,07,Read/Write,UNSIGNED32,32
279,1A07,08,Read/Write,UNSIGNED32,32
280,1F50,00,Read,UNSIGNED8,8
281,1F50,01,Read/Write,DOMAIN,0
282,1F50,02,Read/Write,DOMAIN,0
283,1F51,00,Read,UNSIGNED8,8
284,1F51,01,Read/Write,UNSIGNED8,8
285,1F51,02,Read/Write,UNSIGNED8,8
286,1F57,00,Read,UNSIGNED8,8
287,1F57,01,Read,UNSIGNED32,32
288,1F57,02,Read,UNSIGNED32,32
289,1F80,00,Read/Write,UNSIGNED32,32
290,2005,00,Read/Write,UNSIGNED8,8
291,2007,00,Read,UNSIGNED8,8
292,2007,01,Read/Write,UNSIGNED32,32
293,2009,00,Read/Write,UNSIGNED8,8
294,2028,00,Read/Write,UNSIGNED8,8
295,202A,00,Read/Write,UNSIGNED32,32
296,202C,00,Read,UNSIGNED8,8
297,202D,00,Read/Write,UNSIGNED8,8
298,2030,00,Read/Write,UNSIGNED32,32
299,2031,00,Read/Write,UNSIGNED32,32
300,2034,00,Read/Write,UNSIGNED32,32
301,2035,00,Read/Write,UNSIGNED32,32
302,2036,00,Read/Write,UNSIGNED32,32
303,2037,00,Read/Write,INTEGER32,32
304,2038,00,Read,UNSIGNED8,8
305,2038,01,Read/Write,UNSIGNED32,32
306,2038,02,Read/Write,UNSIGNED32,32
307,2038,03,Read/Write,UNSIGNED32,32
308,2038,04,Read/Write,UNSIGNED32,32
309,2038,05,Read/Write,UNSIGNED32,32
310,2038,06,Read/Write,UNSIGNED32,32
311,2039,00,Read,UNSIGNED8,8
312,2039,01,Read,INTEGER32,32
313,2039,02,Read,INTEGER32,32
314,2039,03,Read,INTEGER32,32
315,2039,04,Read,INTEGER32,32
316,2039,05,Read,INTEGER32,32
317,203A,00,Read,UNSIGNED8,8
318,203A,01,Read/Write,INTEGER32,32
319,203A,02,Read/Write,INTEGER32,32
320,203B,00,Read,UNSIGNED8,8
321,203B,01,Read/Write,UNSIGNED32,32
322,203B,02,Read/Write,UNSIGNED32,32
323,203B,03,Read/Write,UNSIGNED32,32
324,203B,04,Read/Write,UNSIGNED32,32
325,203B,05,Read/Write,UNSIGNED32,32
326,203B,06,Read/Write,UNSIGNED32,32
327,203D,00,Read/Write,UNSIGNED16,16
328,203E,00,Read/Write,UNSIGNED16,16
329,203F,00,Read/Write,UNSIGNED16,16
330,2057,00,Read/Write,INTEGER32,32
331,2058,00,Read/Write,INTEGER32,32
332,205A,00,Read,INTEGER32,32
333,205B,00,Read/Write,UNSIGNED32,32
334,2084,00,Read/Write,UNSIGNED32,32
335,2101,00,Read,UNSIGNED32,32
336,2102,00,Read/Write,UNSIGNED32,32
337,2103,00,Read,UNSIGNED8,8
